"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jan 15, 01:00 pm",37901.4,5.97,2.56582,-6.13
"Jan 15, 02:00 pm",28415.1,5.61,1.75932,-6.03
"Jan 15, 03:00 pm",16400.7,4.85,2.98577,-5.95
"Jan 15, 04:00 pm",29491.2,5.7,4.2777,-6
"Jan 15, 05:00 pm",22579.5,5.3,4.207,-6.12
"Jan 15, 06:00 pm",28882.2,5.64,1.67897,-6
"Jan 15, 07:00 pm",39495.4,6.04,2.96519,-5.8
"Jan 15, 08:00 pm",63022.8,6.8,3.16835,-5.69
"Jan 15, 09:00 pm",96135,7.64,3.16563,-5.6
"Jan 15, 10:00 pm",149044,8.92,1.76873,-5.59
"Jan 15, 11:00 pm",211516,10.3,1.19947,-5.41
"Jan 16, 12:00 am",274191,11.84,0.791599,-5.23
"Jan 16, 01:00 am",309478,13.12,0.414449,-5
"Jan 16, 02:00 am",321715,13.89,0.195054,-4.75
"Jan 16, 03:00 am",330662,15.22,0.0596735,-4.72
"Jan 16, 04:00 am",333779,16.24,0,-4.88
"Jan 16, 05:00 am",327296,14.7,0.121728,-4.57
"Jan 16, 06:00 am",329327,15.01,0.119109,-4.28
"Jan 16, 07:00 am",328529,14.9,0.118812,-4.03
"Jan 16, 08:00 am",330683,15.27,0.0619587,-3.6
"Jan 16, 09:00 am",323148,14.15,0.151034,-2.44
"Jan 16, 10:00 am",288069,12.4,0.893815,-1.15
"Jan 16, 11:00 am",281736,12.21,1.17024,-0.22
"Jan 16, 12:00 pm",237095,11.08,1.65099,1.17
"Jan 16, 01:00 pm",225303,10.76,1.62776,1.57
"Jan 16, 02:00 pm",244134,11.21,1.19532,1.36
"Jan 16, 03:00 pm",260147,11.62,1.54664,0.58
"Jan 16, 04:00 pm",246776,11.32,2.38979,-0.31
"Jan 16, 05:00 pm",323029,14.14,0.158417,-2.06
"Jan 16, 06:00 pm",308809,13.13,0.428467,-3.97
"Jan 16, 07:00 pm",293598,12.49,0.758596,-5.18
"Jan 16, 08:00 pm",249218,11.19,1.04376,-7.03
"Jan 16, 09:00 pm",281121,12.01,0.780345,-8.87
"Jan 16, 10:00 pm",230797,10.71,0.89328,-9.43
"Jan 16, 11:00 pm",224234,10.55,1.29536,-9.58
"Jan 17, 12:00 am",230025,10.68,0.948239,-9.96
"Jan 17, 01:00 am",212841,10.28,1.17335,-10.54
"Jan 17, 02:00 am",158835,9.13,2.6838,-10.39
"Jan 17, 03:00 am",104668,7.84,2.16599,-10.56
"Jan 17, 04:00 am",141605,8.72,2.42397,-10.87
"Jan 17, 05:00 am",90349.9,7.49,3.64334,-10.9
"Jan 17, 06:00 am",105382,7.88,3.24967,-11.06
"Jan 17, 07:00 am",100999,7.75,3.21493,-11.07
"Jan 17, 08:00 am",108029,7.95,3.56753,-11.05
"Jan 17, 09:00 am",99852.5,7.72,3.40648,-10.71
"Jan 17, 10:00 am",87588.2,7.45,4.45161,-10.17
"Jan 17, 11:00 am",81875.1,7.31,4.00264,-9.51
"Jan 17, 12:00 pm",71133.4,7.03,4.40602,-8.89
"Jan 17, 01:00 pm",72454.1,7.07,4.37477,-8.22
"Jan 17, 02:00 pm",40081.2,6.09,4.94033,-7.35
